run,archetype,cluster_kmeans,local_self_sufficiency,import_intensity,transport_intensity,storage_large_share,SS_pipe,LL_pipe,meshed,n_pipelines,highP_share,total_demand_TWh,demand_level_ratio,unbalance_ratio,electricity_availability_small,electricity_availability_large,import_availability_ratio,electricity_price_avg,electricity_standard_dev,hydrogen_import_price,solar_availability,distance_Large_cluster1_to_Large_cluster2_km,distance_Small_cluster1_to_Small_cluster2_km,distance_from_large_cluster,cluster_final
parallel_run_2856,Archetype_4,2,0.355163321051516,0.1490960090226377,0.32065502445096,0.9090909090909092,1,1,1,4,0.25,13.21427123302489,12.99077849367701,2.804621181868556,57.60856169568081,1509.042894252557,0.202994166366049,91.80831738898752,122.5526135883852,139.657431483073,1.128863155150354,813.0,348.9,232.5,2
parallel_run_2858,Archetype_4,0,0.2981105827949516,0.0490055259928344,0.0757116475409483,0.0,0,0,0,2,0.0,6.639503134093878,8.702036358183824,2.460006477284389,50.84918084009174,1224.275709388201,0.14250239653806,114.0559579566393,16.49310952489565,222.5836742807619,1.025953997214746,813.0,348.9,232.5,3
parallel_run_2860,Archetype_4,5,4.064884530879649e-06,0.3975106509413034,0.0551610406155983,0.8543403099059839,0,0,0,2,0.0,13.53541818756549,17.50384951367896,4.718111782544003,32.06607470803334,1682.919135964777,0.407888008510583,62.79308556464255,40.8608152984074,108.3468966403483,0.7505038651828599,813.0,348.9,232.5,5
parallel_run_2861,Archetype_4,5,0.1537763457388372,0.3403122233446675,0.0563672021387301,0.8393706040611196,0,0,0,2,0.0,9.589786864094185,14.52009542132607,2.25760526337914,95.46321746956043,1743.776803747743,0.3420270254820715,154.4883468009115,38.07535167163682,155.3553685224774,0.5347162870897352,813.0,348.9,232.5,5
parallel_run_2863,Archetype_4,1,0.0468106729215479,0.1078974633974945,0.2606401356851374,0.8333333333333334,0,1,0,3,0.3333333333333333,11.5724650899624,15.71417657225041,2.505463074151018,37.82135289309134,1732.171085268251,0.2966680057335894,87.89904124731528,124.3179479506931,188.0589961374106,0.6121933944560484,813.0,348.9,232.5,1
parallel_run_2864,Archetype_4,2,0.5737787848193837,0.0636204432141164,0.4071820653987762,0.346037720273569,1,0,1,3,0.0,7.401877309695345,16.72060108361629,4.239354502223774,78.9004950381646,763.9731909619118,0.0862171753274194,168.5882939237162,10.48455250370037,274.1962939177321,0.9381802418748396,813.0,348.9,232.5,2
parallel_run_2865,Archetype_4,3,0.0,0.0001446747733052,0.0892077768054142,0.652757457704865,0,0,0,2,0.0,6.226512320545174,10.57007202633626,4.816232216133942,78.55254926123328,1473.572870709382,0.3084672339978864,39.11190515019379,26.58517665913403,167.9697151744124,0.8989728030906465,813.0,348.9,232.5,3
parallel_run_2866,Archetype_4,2,0.1633860361732513,0.2103854434543756,0.1447212659228624,0.8333333333333229,1,0,1,3,0.0,8.028178927033153,12.69358091967134,3.112625106465832,36.62334427994244,1295.694779439287,0.2513937760739758,117.9684651723182,90.13045861303728,158.0544197808208,0.9195426682975842,813.0,348.9,232.5,2
parallel_run_2867,Archetype_4,3,0.1998727725495118,0.0232674385901194,0.1024778658340699,0.7205122273067475,0,0,0,2,0.0,5.772023405404161,7.116169331792253,2.064522668331408,56.51085137099933,1786.195480402135,0.0232508350807578,161.0329775531958,25.14851249315225,197.822121004284,0.7197444930411876,813.0,348.9,232.5,3
parallel_run_2868,Archetype_4,1,0.2126050910574447,0.0561910813145521,0.3475527960973146,0.8333333333333334,0,1,0,3,0.3333333333333333,9.480794663304136,17.03804542014852,4.639878986106728,99.35855694037711,1250.245306083507,0.4168895798584492,43.35096290748591,149.1588574610129,277.1890738836713,1.083347637799514,813.0,348.9,232.5,1
parallel_run_2869,Archetype_4,2,1.0,0.2780802681032433,0.2177829017363468,0.8333333333333334,1,1,1,3,0.3333333333333333,12.59017345046845,19.02253176729523,3.9523185428614,96.0626212890334,921.343979285896,0.3159410008343269,143.9201303011419,83.56764829664709,247.3963377767511,1.184696545793093,813.0,348.9,232.5,6
parallel_run_2870,Archetype_4,7,0.7241738337760658,0.3237194613445186,0.1513354247685726,0.0,0,1,0,3,0.3333333333333333,13.88681027006693,18.61075821619153,4.347085125891433,43.42201779666991,778.7163195623369,0.5440908291581393,33.79114171279144,30.41474642500482,289.3256653337539,0.7671046222699125,813.0,348.9,232.5,7
parallel_run_2871,Archetype_4,2,0.1849568491840275,0.5611809894066704,0.114138898495673,0.0,1,0,1,3,0.0,10.32199462340584,6.699275404416465,2.08038382636346,44.79361792876074,979.8557987975116,0.595749285135953,177.31500644115,11.06955829270862,290.4698168059626,1.067301995703033,813.0,348.9,232.5,2
parallel_run_2872,Archetype_4,6,0.1147281500965995,0.3122312492603129,0.2102114069634602,0.8333333333333334,0,1,0,3,0.3333333333333333,10.44667181037197,13.25070225132207,4.259523874160369,88.11039822390016,1086.489408610497,0.3604504262054547,93.26680170863348,86.31118950437782,141.2036987315458,0.8099763525700954,813.0,348.9,232.5,6
parallel_run_2873,Archetype_4,2,0.0018830504515236,0.337503050181465,0.1237444327740198,0.8333333333333334,1,0,1,3,0.0,7.193260089885094,11.65964368980142,4.36245347424116,67.47086947928852,860.866485459772,0.3929505433301446,47.88817474253383,105.9284432028051,105.7696635231778,0.7077017593878874,813.0,348.9,232.5,2
parallel_run_2874,Archetype_4,7,1.2993303452722386e-05,1.4124284326099916e-16,0.2302998152743392,0.0,0,1,0,3,0.3333333333333333,10.87938801553206,16.037856129965,2.961086101395173,69.6604654795751,1130.70880630468,0.3289402099742169,45.2910359937304,14.91317533979289,294.1194921299998,1.165324106539424,813.0,348.9,232.5,7
parallel_run_2875,Archetype_4,6,0.313878148306971,0.2552356137580208,0.1638328854257293,0.9090909090909092,0,1,0,3,0.3333333333333333,11.04944243362644,19.24071518137925,3.605624564480587,53.85239415205597,1355.675352940887,0.2611936824169285,192.5155188876426,93.4514385332439,163.183152602084,0.9537850554699546,813.0,348.9,232.5,6
parallel_run_2876,Archetype_4,2,0.3910847531751735,0.5197231455676966,0.245105117381524,0.8333333333333334,1,0,1,3,0.0,9.08917883368848,15.93141516714483,2.552097542916801,87.05159164902761,516.4075892774002,0.5259683590341234,164.5121833558311,80.95119800030251,191.2553856341034,1.094491785369062,813.0,348.9,232.5,2
