run,archetype,cluster_kmeans,local_self_sufficiency,centralization,storage_large_share,import_intensity,SS_pipe,LL_pipe,meshed,n_pipelines,highP_share,total_demand_TWh,demand_level_ratio,unbalance_ratio,electricity_availability_small,electricity_availability_large,import_availability_ratio,electricity_price_avg,electricity_standard_dev,hydrogen_import_price,solar_availability,distance_Large_cluster1_to_Large_cluster2_km,distance_Small_cluster1_to_Small_cluster2_km,distance_from_large_cluster,cluster_final
parallel_run_0001,Archetype_1,1,1.0,0.9506489106239808,0.8333333333333334,0.0,0,1,0,1,0.0,5.645937846490421,19.08999399027946,4.574685372982158,59.43535530068567,740.044618160573,0.4465748804743228,76.02908933133577,44.09919367093785,262.8462682705834,0.782484278393255,1251.7,889.1,466.95,1
parallel_run_0002,Archetype_1,0,0.5896821132569795,0.9593435839137412,0.7885758323879251,0.1173207766992575,0,1,0,3,0.3333333333333333,13.49964268135165,15.33095577911059,4.464674582116157,42.94616278436651,1185.794953774338,0.117649937817252,137.4023502352264,22.49168264409253,128.2191212271367,0.5911665438533666,1251.7,889.1,466.95,0
parallel_run_0003,Archetype_1,1,1.0,0.930888481208164,0.8333333333333398,0.2227001540022473,0,0,0,1,0.0,6.405292284318544,19.53555145216947,3.764585606427318,64.73890400335439,850.6267050193985,0.2646507902451352,37.50790122422556,110.5320184729022,100.9223548185412,1.28665717130124,1251.7,889.1,466.95,1
parallel_run_0004,Archetype_1,1,0.4832203222379013,0.9637744166835718,0.0,0.1864198928371296,0,0,0,2,0.0,5.078233488755179,15.36811055664406,4.023785290991664,68.86856051780249,1676.075248578451,0.2246787017126815,129.5689761803989,24.65199699594505,232.3224413807133,0.6774859235206085,1251.7,889.1,466.95,1
parallel_run_0005,Archetype_1,2,0.8662088686718273,0.9067796012506018,0.8530301746977375,0.0375876950762239,0,1,0,3,0.3333333333333333,9.795367374301884,8.46566765326878,4.968477490368761,93.10632240494294,1005.748088406246,0.0638931166280094,56.87494984404746,127.412906728483,150.7886454235,1.149819164967017,1251.7,889.1,466.95,2
parallel_run_0006,Archetype_1,0,0.5141968991030764,0.9580636754604304,0.8333333333333334,0.1423210265669951,0,1,0,3,0.3333333333333333,13.21427123302489,12.99077849367701,2.804621181868556,57.60856169568081,1509.042894252557,0.202994166366049,91.80831738898752,122.5526135883852,139.657431483073,1.128863155150354,1251.7,889.1,466.95,0
parallel_run_0008,Archetype_1,1,0.3684354717500562,0.9602795914286134,0.0,0.0508958196645447,0,0,0,2,0.0,6.639503134093878,8.702036358183824,2.460006477284389,50.84918084009174,1224.275709388201,0.14250239653806,114.0559579566393,16.49310952489565,222.5836742807619,1.025953997214746,1251.7,889.1,466.95,1
parallel_run_0010,Archetype_1,1,9.034940928770796e-05,0.9999918717303916,0.8856358830095149,0.3979059138864169,0,0,0,2,0.0,13.53541818756549,17.50384951367896,4.718111782544003,32.06607470803334,1682.919135964777,0.407888008510583,62.79308556464255,40.8608152984074,108.3468966403483,0.7505038651828599,1251.7,889.1,466.95,1
parallel_run_0011,Archetype_1,1,0.1754295522603889,0.9829677073350604,0.9009153558958082,0.340443765900061,0,0,0,2,0.0,9.589786864094185,14.52009542132607,2.25760526337914,95.46321746956043,1743.776803747743,0.3420270254820715,154.4883468009115,38.07535167163682,155.3553685224774,0.5347162870897352,1251.7,889.1,466.95,1
parallel_run_0013,Archetype_1,0,0.4536639593129268,0.9698543098957436,0.8333333333333334,0.1134672745872488,0,1,0,3,0.3333333333333333,11.5724650899624,15.71417657225041,2.505463074151018,37.82135289309134,1732.171085268251,0.2966680057335894,87.89904124731528,124.3179479506931,188.0589961374106,0.6121933944560484,1251.7,889.1,466.95,0
parallel_run_0014,Archetype_1,2,1.0,0.8711899141662759,0.6641912904303477,0.0649126825777135,0,1,0,3,0.0,7.401877309695345,16.72060108361629,4.239354502223774,78.9004950381646,763.9731909619118,0.0862171753274194,168.5882939237162,10.48455250370037,274.1962939177321,0.9381802418748396,1251.7,889.1,466.95,2
parallel_run_0015,Archetype_1,1,0.0,1.0,0.7936518748102233,8.449159353974852e-06,0,0,0,2,0.0,6.226512320545174,10.57007202633626,4.816232216133942,78.55254926123328,1473.572870709382,0.3084672339978864,39.11190515019379,26.58517665913403,167.9697151744124,0.8989728030906465,1251.7,889.1,466.95,1
parallel_run_0016,Archetype_1,1,0.4906116629235669,0.95486524204003,0.8333333333333334,0.2157707280963022,0,0,0,2,0.0,8.028178927033153,12.69358091967134,3.112625106465832,36.62334427994244,1295.694779439287,0.2513937760739758,117.9684651723182,90.13045861303728,158.0544197808208,0.9195426682975842,1251.7,889.1,466.95,1
parallel_run_0017,Archetype_1,1,0.2451979904305254,0.9691940293833776,0.8134597157520941,0.0232023119760327,0,0,0,2,0.0,5.772023405404161,7.116169331792253,2.064522668331408,56.51085137099933,1786.195480402135,0.0232508350807578,161.0329775531958,25.14851249315225,197.822121004284,0.7197444930411876,1251.7,889.1,466.95,1
parallel_run_0018,Archetype_1,2,1.0,0.9301077617731702,0.909090909090988,0.0389559600296943,0,1,0,3,0.3333333333333333,9.480794663304136,17.03804542014852,4.639878986106728,99.35855694037711,1250.245306083507,0.4168895798584492,43.35096290748591,149.1588574610129,277.1890738836713,1.083347637799514,1251.7,889.1,466.95,2
parallel_run_0019,Archetype_1,2,1.0,0.9004196983532828,0.8333333333333334,0.2717144276326767,0,1,0,3,0.3333333333333333,12.59017345046845,19.02253176729523,3.9523185428614,96.0626212890334,921.343979285896,0.3159410008343269,143.9201303011419,83.56764829664709,247.3963377767511,1.184696545793093,1251.7,889.1,466.95,2
parallel_run_0020,Archetype_1,2,0.7291587217805533,0.945434990102372,0.0,0.3245470554699656,0,1,0,3,0.3333333333333333,13.88681027006693,18.61075821619153,4.347085125891433,43.42201779666991,778.7163195623369,0.5440908291581393,33.79114171279144,30.41474642500482,289.3256653337539,0.7671046222699125,1251.7,889.1,466.95,2
parallel_run_0021,Archetype_1,1,0.2043307544827847,0.9403976718745176,0.1067281985425711,0.5590753627443978,0,0,0,2,0.0,10.32199462340584,6.699275404416465,2.08038382636346,44.79361792876074,979.8557987975116,0.595749285135953,177.31500644115,11.06955829270862,290.4698168059626,1.067301995703033,1251.7,889.1,466.95,1
parallel_run_0022,Archetype_1,0,0.4590902391648059,0.9529428406705188,0.8333333333333334,0.3262087155324294,0,1,0,3,0.3333333333333333,10.44667181037197,13.25070225132207,4.259523874160369,88.11039822390016,1086.489408610497,0.3604504262054547,93.26680170863348,86.31118950437782,141.2036987315458,0.8099763525700954,1251.7,889.1,466.95,0
parallel_run_0023,Archetype_1,1,0.8018964420808551,0.9050275477065468,0.8333333333333334,0.3362531735225976,0,0,0,2,0.0,7.193260089885094,11.65964368980142,4.36245347424116,67.47086947928852,860.866485459772,0.3929505433301446,47.88817474253383,105.9284432028051,105.7696635231778,0.7077017593878874,1251.7,889.1,466.95,1
parallel_run_0024,Archetype_1,0,0.4190395481337549,0.9753258428955696,-4.755269143610478e-13,-1.1947485076703452e-16,0,1,0,3,0.3333333333333333,10.87938801553206,16.037856129965,2.961086101395173,69.6604654795751,1130.70880630468,0.3289402099742169,45.2910359937304,14.91317533979289,294.1194921299998,1.165324106539424,1251.7,889.1,466.95,0
parallel_run_0025,Archetype_1,0,0.5934395924012444,0.9611667903735795,0.8507139000185182,0.2562290319002739,0,1,0,3,0.3333333333333333,11.04944243362644,19.24071518137925,3.605624564480587,53.85239415205597,1355.675352940887,0.2611936824169285,192.5155188876426,93.4514385332439,163.183152602084,0.9537850554699546,1251.7,889.1,466.95,0
parallel_run_0026,Archetype_1,2,1.0,0.828960920449493,0.8333333333333334,0.5222734706710702,0,1,0,3,0.0,9.08917883368848,15.93141516714483,2.552097542916801,87.05159164902761,516.4075892774002,0.5259683590341234,164.5121833558311,80.95119800030251,191.2553856341034,1.094491785369062,1251.7,889.1,466.95,2
parallel_run_0027,Archetype_1,1,0.7180957566144807,0.9042200528088932,0.8333333333333334,0.331240809222182,0,0,1,3,0.0,6.022122980882333,10.18624643812967,4.118622604217991,44.05635878211464,657.7419002366751,0.4846669501207773,27.38228323221475,120.2686065600439,118.8863494549756,1.050243965660369,1251.7,889.1,466.95,2
parallel_run_0028,Archetype_1,0,0.6912700790021974,0.9644170861493082,0.8333333333333426,0.0330718836925406,0,1,0,3,0.3333333333333333,12.81217303836103,18.79926099501478,3.671884488568053,46.3834911494316,1976.5423669876,0.4556973803877963,98.27765434529884,77.3225987347966,261.8146648055326,0.8637011623017257,1251.7,889.1,466.95,0
parallel_run_0029,Archetype_1,2,1.0,0.9252040590570764,0.0,0.0269993723878501,0,1,0,3,0.3333333333333333,11.30329623906534,14.11358006738063,2.119776423336449,80.39616228749757,927.2926047619708,0.0269989646361896,110.5634989792129,18.96908617913164,123.0786965714163,1.005760777712649,1251.7,889.1,466.95,2
parallel_run_0030,Archetype_1,1,0.0,1.0,0.8847056138701999,0.0009269983997819,0,0,0,2,0.0,9.208165790113028,15.46907671514874,4.545251827774964,38.83541580815834,1956.9090829731,0.1622856966902549,21.41825610127897,34.46180060490662,143.3953587386619,1.21370144627473,1251.7,889.1,466.95,1
parallel_run_0032,Archetype_1,2,0.933826736362274,0.9510625422763662,0.5064359595845138,0.0201526209208271,0,1,0,3,0.3333333333333333,11.79622827938521,18.29050969456285,4.169805421292692,52.8848948871502,1412.193873679556,0.4257887667081556,79.79357681981203,42.21866859739012,215.0694877114157,0.8330072175424368,1251.7,889.1,466.95,0
parallel_run_0033,Archetype_1,0,0.5037789800268011,0.9393420559658728,0.7948309960185252,0.0032726270707859,0,1,0,3,0.3333333333333333,7.646521843235478,7.231058342555429,3.31458691916786,41.69964252763987,671.0160759439195,0.4157057803155249,70.94792328052574,46.67117715729472,250.4862261361136,0.7327865198402268,1251.7,889.1,466.95,2
parallel_run_0034,Archetype_1,2,1.0,0.8920498360640682,0.3204752037218246,0.2073366267626016,0,1,0,3,0.0,13.36289726948865,19.43255606974088,2.149756002614726,98.31009612961368,830.6769291617317,0.3440972357975186,24.40106928622523,21.65487938516236,225.1829757871136,1.25645844295112,1251.7,889.1,466.95,2
parallel_run_0035,Archetype_1,0,0.4694345721640415,0.9510983056967592,0.7859176284888238,0.0683499148424751,0,1,0,3,0.3333333333333333,8.364797989299861,9.192250646467237,3.860538328046275,34.3813015352484,788.3970389732821,0.4717590306136611,144.6892794848065,41.70303632080136,285.1192728451363,0.9914750935718764,1251.7,889.1,466.95,0
parallel_run_0036,Archetype_1,0,0.5689299579399381,0.9668378935699014,0.67291413566912,0.032292160400664,0,1,0,3,0.3333333333333333,14.90080910970151,16.57440810558032,2.987874773593921,45.48329767203269,1579.101973947642,0.0323452792956046,124.7691560752347,13.25130095356169,131.0360691937709,1.160280557751469,1251.7,889.1,466.95,0
parallel_run_0037,Archetype_1,2,1.0,0.8570163153371856,0.0,0.0069268182327324,0,1,0,3,0.3333333333333333,6.738724478605125,10.74467739481464,4.059979339446745,91.01635205906643,546.9101382223519,0.1271291449095846,29.64904233951978,50.75070528467045,175.7269183945674,1.085475702971351,1251.7,889.1,466.95,2
parallel_run_0038,Archetype_1,2,1.0,0.8878972100829681,0.0,0.280527311487863,0,1,0,3,0.0,12.29475505195811,16.20117521024517,2.57668959775238,86.126770574267,694.6303209657378,0.3562216088726904,35.8027220756866,64.20784236580666,271.3979072062631,0.7973279454902197,1251.7,889.1,466.95,2
parallel_run_0039,Archetype_1,1,1.0,0.9110603039501024,0.5153821459137395,0.2475553175727561,0,0,0,0,0.0,5.41478544277491,13.9696886981829,3.800167267124271,93.40190108464566,1614.000840022941,0.2479437183689544,197.1143613561278,32.13386871974967,137.2906070612262,1.198479495410149,1251.7,889.1,466.95,1
parallel_run_0040,Archetype_1,0,0.0541882056731427,0.9920432361068584,0.9090909090909124,0.0764751386249596,0,1,0,3,0.0,7.325244866915437,6.133456484961489,2.849506395765022,36.13139533184066,1846.939556478707,0.1045903725178832,104.708041937107,141.4654323491187,103.7582240168401,0.5719642415394346,1251.7,889.1,466.95,0
parallel_run_0041,Archetype_1,2,0.9967481604347552,0.9193754867110976,0.8333333333333334,0.0,0,1,0,3,0.3333333333333333,10.09356256031139,11.29063222601615,4.76846366035301,76.79579046522252,1053.739944648393,0.2204308342752106,41.70644304050847,45.01347485513899,281.050931209811,1.263414311242694,1251.7,889.1,466.95,2
parallel_run_0042,Archetype_1,0,0.7378760080501753,0.9525745256229928,0.8333333333333421,0.0428101158620399,0,1,0,3,0.0,6.186101812756469,15.06385238110333,2.884344918055505,31.24493007510238,986.5491512115816,0.0557544202849528,84.24127174220122,94.4970799647684,145.9465456157096,1.018398256176594,1251.7,889.1,466.95,0
parallel_run_0044,Archetype_1,1,0.6891305233889106,0.9159664351113328,0.8333333333333334,0.0944405435691673,0,0,0,2,0.0,5.875103409596851,7.908293010058282,2.390464514085502,54.80879767084504,951.9658153072828,0.3730351891050821,88.41266743681159,98.35668950325385,201.4163575543587,0.6395764243792184,1251.7,889.1,466.95,1
parallel_run_0045,Archetype_1,3,0.279429083519403,0.9562475926239415,0.7998618398048521,0.0832133875893512,0,0,1,4,0.0,9.89273547819015,5.915838497469448,4.894747269895554,35.37340681692577,1159.023486619083,0.501565989511877,72.72853972209614,37.63505720582668,179.0711115343357,0.7616663464940141,1251.7,889.1,466.95,0
