run,archetype,_local_prod_ratio_raw,local_self_sufficiency,import_intensity,transport_intensity,storage_large_share,_any_storage,SS_pipe,LL_pipe,degree_small1,degree_small2,meshed,n_pipelines,highP_share,total_demand_TWh,demand_level_ratio,unbalance_ratio,electricity_availability_small,electricity_availability_large,import_availability_ratio,electricity_price_avg,electricity_standard_dev,hydrogen_import_price,solar_availability,distance_Large_cluster1_to_Large_cluster2_km,distance_Small_cluster1_to_Small_cluster2_km,distance_from_large_cluster
parallel_run_1494,Archetype_2,0.31716222405852146,0.31716222405852146,0.00783893372218264,0.11846799825477443,0.6723613116358017,1,0,1,1,1,0,3,0.0,5.307304167754404,8.062741299807017,2.856484395403244,90.46559420208709,591.9263990795743,0.5853009355147591,97.7904136753744,36.39089163854832,254.8378904988671,0.9033851808539107,1231.7,865.3,438.95
parallel_run_1495,Archetype_2,1.0,1.0,0.0,0.22130065461491716,0.8333333333333334,1,0,1,0,0,0,1,1.0,8.088620780419058,19.64969158227921,2.445246324409711,38.13315627139157,846.5530044686006,0.2872874174759508,41.0140129305388,66.19506893135303,296.218590405105,0.6626148413292461,1231.7,865.3,438.95
parallel_run_1496,Archetype_2,0.5693657047869559,0.5693657047869559,0.3912656010445648,0.024068293639588106,0.7128708171013898,1,0,0,1,1,0,2,0.0,7.737878589250059,17.65262552890793,2.04343847591413,60.65256661819086,794.1535603498564,0.3905802979433853,158.1284539410613,28.1308721236521,148.7173157451602,1.000044063032848,1231.7,865.3,438.95
parallel_run_1497,Archetype_2,0.6615475636078028,0.6615475636078028,0.49337940395172725,0.14137249738177163,0.7539998392340874,1,0,1,1,1,0,3,0.3333333333333333,13.0646439961812,18.24589508543017,2.716732587027388,46.65131170230379,725.1054169218328,0.5115983993063354,64.21434402267955,101.3397416534369,115.4601576016992,0.561267319729339,1231.7,865.3,438.95
parallel_run_1498,Archetype_2,0.0,0.0,0.0027312568632822986,0.18593967426477828,0.8333333333333334,1,0,1,1,1,0,3,0.3333333333333333,14.55899147105204,16.92400224464144,4.505870455669541,48.66008960426488,1880.428773878496,0.1898057560671069,25.33689484018815,53.21861456331589,186.1609652237962,0.6245236166119492,1231.7,865.3,438.95
parallel_run_1499,Archetype_2,0.8915860543215712,0.8915860543215712,0.08203611023575651,0.27139410226584876,0.735387382849552,1,0,1,1,1,0,3,0.3333333333333333,6.902588311173137,13.28544430155988,2.608092824810263,48.10349831449953,712.0868495925945,0.5809073215674864,59.06523453291005,146.7428585041353,298.5472537308848,1.224555548142108,1231.7,865.3,438.95
parallel_run_1501,Archetype_3,1.0000000000000016,1.0,3.716784354585083e-16,0.09332688277906165,0.8263300274891391,1,0,1,0,0,0,1,0.0,5.645937846490421,19.08999399027946,4.574685372982158,59.43535530068567,740.044618160573,0.4465748804743228,76.02908933133577,44.09919367093785,262.8462682705834,0.782484278393255,734.6,503.0,445.15
parallel_run_1502,Archetype_3,0.15076490238769674,0.15076490238769674,0.11739451527050396,0.24028619857270195,0.5094410105673135,1,0,1,1,1,0,3,0.3333333333333333,13.49964268135165,15.33095577911059,4.464674582116157,42.94616278436651,1185.794953774338,0.117649937817252,137.4023502352264,22.49168264409253,128.2191212271367,0.5911665438533666,734.6,503.0,445.15
parallel_run_1503,Archetype_3,0.39072792281430585,0.39072792281430585,0.2044605173169394,0.07449764486207848,0.8333333333333676,1,0,1,1,1,0,3,0.0,6.405292284318544,19.53555145216947,3.764585606427318,64.73890400335439,850.6267050193985,0.2646507902451352,37.50790122422556,110.5320184729022,100.9223548185412,1.28665717130124,734.6,503.0,445.15
parallel_run_1504,Archetype_3,0.48951502884332637,0.48951502884332637,0.1789655907509918,0.03298487887808486,0.0,1,0,0,1,1,0,2,0.0,5.078233488755179,15.36811055664406,4.023785290991664,68.86856051780249,1676.075248578451,0.2246787017126815,129.5689761803989,24.65199699594505,232.3224413807133,0.6774859235206085,734.6,503.0,445.15
parallel_run_1505,Archetype_3,0.8367593652917347,0.8367593652917347,0.03658149702790357,0.33660539514839855,0.8333333333333334,1,0,1,2,2,1,5,0.2,9.795367374301884,8.46566765326878,4.968477490368761,93.10632240494294,1005.748088406246,0.06389311662800941,56.87494984404746,127.412906728483,150.7886454235,1.149819164967017,734.6,503.0,445.15
parallel_run_1506,Archetype_3,0.28787452270170755,0.28787452270170755,0.15724848812596928,0.3100932008285423,0.8333333333333334,1,0,1,1,1,0,3,0.3333333333333333,13.21427123302489,12.99077849367701,2.804621181868556,57.60856169568081,1509.042894252557,0.202994166366049,91.80831738898752,122.5526135883852,139.657431483073,1.128863155150354,734.6,503.0,445.15
parallel_run_1508,Archetype_3,0.35817241018833795,0.35817241018833795,0.0489462210287773,0.070606508315537,0.0,1,0,0,1,1,0,2,0.0,6.639503134093878,8.702036358183824,2.460006477284389,50.84918084009174,1224.275709388201,0.14250239653806,114.0559579566393,16.49310952489565,222.5836742807619,1.025953997214746,734.6,503.0,445.15
parallel_run_1510,Archetype_3,0.00013713492151601645,0.00013713492151601645,0.3952815814003409,0.05575860754994981,0.8941562304749482,1,0,0,1,1,0,2,0.0,13.53541818756549,17.50384951367896,4.718111782544003,32.06607470803334,1682.919135964777,0.407888008510583,62.79308556464255,40.8608152984074,108.3468966403483,0.7505038651828599,734.6,503.0,445.15
parallel_run_1511,Archetype_3,0.17266016878675566,0.17266016878675566,0.3400326843939802,0.055141138679665656,0.8899568296650463,1,0,0,1,1,0,2,0.0,9.589786864094183,14.52009542132607,2.25760526337914,95.46321746956043,1743.776803747743,0.3420270254820715,154.4883468009115,38.07535167163682,155.3553685224774,0.5347162870897352,734.6,503.0,445.15
parallel_run_1513,Archetype_3,0.014285428448853396,0.014285428448853396,0.11469774043889204,0.2561964859219403,0.9090909090908987,1,0,1,1,1,0,3,0.3333333333333333,11.5724650899624,15.71417657225041,2.505463074151018,37.82135289309134,1732.171085268251,0.2966680057335894,87.89904124731528,124.3179479506931,188.0589961374106,0.6121933944560484,734.6,503.0,445.15
parallel_run_1514,Archetype_3,0.5612405212684781,0.5612405212684781,0.06387386082074525,0.15216056821199475,0.0,1,0,1,1,1,0,3,0.0,7.401877309695345,16.72060108361629,4.239354502223774,78.9004950381646,763.9731909619118,0.08621717532741949,168.5882939237162,10.48455250370037,274.1962939177321,0.9381802418748395,734.6,503.0,445.15
