ghi;dni;dhi;temp_air;ws10
177.0;144.84;135.0;3.46;1.86
93.0;31.79;86.0;3.72;1.93
22.0;0.0;22.0;3.53;1.86
0.0;0.0;0.0;2.86;2.07
0.0;0.0;0.0;2.28;2.21
0.0;0.0;0.0;2.16;2.34
0.0;0.0;0.0;1.29;1.93
0.0;0.0;0.0;1.33;2.0
0.0;0.0;0.0;1.51;2.07
0.0;0.0;0.0;1.59;2.14
0.0;0.0;0.0;1.42;2.21
0.0;0.0;0.0;1.18;2.28
0.0;0.0;0.0;0.99;2.34
0.0;0.0;0.0;0.79;2.41
0.0;0.0;0.0;0.99;2.48
0.0;0.0;0.0;1.16;2.55
0.0;0.0;0.0;1.28;2.62
0.0;0.0;0.0;1.37;2.69
0.0;0.0;0.0;1.53;2.9
15.0;19.81;14.0;1.84;2.9
87.0;99.68;70.0;2.54;2.9
46.0;0.0;46.0;3.31;2.76
66.0;0.0;66.0;4.54;2.69
51.0;0.0;51.0;4.79;2.83
121.0;23.94;114.0;5.28;2.83
31.0;0.0;31.0;5.79;3.03
45.0;33.7;41.0;5.87;2.97
0.0;0.0;0.0;5.78;2.97
0.0;0.0;0.0;5.46;2.97
0.0;0.0;0.0;5.38;3.03
0.0;0.0;0.0;5.35;3.03
0.0;0.0;0.0;5.38;2.9
0.0;0.0;0.0;5.29;2.69
0.0;0.0;0.0;4.87;2.55
0.0;0.0;0.0;4.35;2.76
0.0;0.0;0.0;3.77;2.76
0.0;0.0;0.0;3.51;2.69
0.0;0.0;0.0;3.27;2.69
0.0;0.0;0.0;3.06;2.62
0.0;0.0;0.0;2.99;2.55
0.0;0.0;0.0;2.84;2.48
0.0;0.0;0.0;2.66;2.28
0.0;0.0;0.0;2.88;2.07
12.0;0.0;12.0;2.88;1.93
82.0;69.79;70.0;3.11;1.79
160.0;160.75;118.0;4.39;1.86
281.0;615.68;88.0;5.19;1.72
306.0;713.87;74.0;6.18;1.66
0.0;0.0;0.0;6.78;1.38
0.0;0.0;0.0;7.22;1.17
86.0;411.22;36.0;6.99;1.03
0.0;0.0;0.0;6.25;1.66
0.0;0.0;0.0;5.01;1.86
0.0;0.0;0.0;4.36;1.93
0.0;0.0;0.0;3.19;1.72
0.0;0.0;0.0;2.73;1.52
0.0;0.0;0.0;2.15;1.66
