ghi;dni;dhi;temp_air;ws10
143.0;80.49;121.0;11.14;1.17
75.0;188.17;50.0;11.02;0.9
0.0;0.0;0.0;10.32;0.34
0.0;0.0;0.0;10.05;0.07
0.0;0.0;0.0;9.47;0.76
0.0;0.0;0.0;7.67;1.24
0.0;0.0;0.0;6.15;1.66
0.0;0.0;0.0;5.25;1.66
0.0;0.0;0.0;4.78;1.52
0.0;0.0;0.0;4.11;1.59
0.0;0.0;0.0;3.65;1.66
0.0;0.0;0.0;3.21;1.66
0.0;0.0;0.0;2.91;1.59
0.0;0.0;0.0;2.57;1.59
0.0;0.0;0.0;2.26;1.52
0.0;0.0;0.0;2.28;1.45
0.0;0.0;0.0;2.05;1.31
47.0;298.14;24.0;2.08;1.31
206.0;687.76;49.0;3.34;1.03
346.0;826.8;59.0;6.16;0.9
247.0;93.99;207.0;8.82;0.76
364.0;342.57;207.0;10.69;0.69
435.0;747.07;104.0;12.02;0.9
319.0;446.31;149.0;12.86;1.03
201.0;304.3;117.0;13.18;0.97
85.0;250.65;51.0;12.79;0.41
0.0;0.0;0.0;12.16;0.55
0.0;0.0;0.0;9.89;1.31
0.0;0.0;0.0;8.92;1.31
0.0;0.0;0.0;7.36;1.59
0.0;0.0;0.0;6.0;1.79
0.0;0.0;0.0;4.94;1.66
0.0;0.0;0.0;4.33;1.52
0.0;0.0;0.0;3.98;1.45
0.0;0.0;0.0;3.66;1.45
0.0;0.0;0.0;3.44;1.45
0.0;0.0;0.0;3.3;1.38
0.0;0.0;0.0;3.15;1.31
0.0;0.0;0.0;3.19;1.17
0.0;0.0;0.0;2.96;1.17
0.0;0.0;0.0;3.42;0.97
43.0;231.36;25.0;3.43;0.97
168.0;335.85;91.0;4.55;0.76
358.0;892.46;47.0;6.68;0.69
394.0;606.12;135.0;9.48;0.62
404.0;497.41;175.0;11.26;0.48
386.0;480.41;172.0;12.6;0.48
317.0;427.6;153.0;13.35;0.41
209.0;337.11;115.0;13.6;0.41
94.0;332.08;48.0;13.29;0.21
0.0;0.0;0.0;12.74;0.14
0.0;0.0;0.0;11.97;0.21
0.0;0.0;0.0;8.71;1.52
0.0;0.0;0.0;6.89;1.86
0.0;0.0;0.0;5.8;1.72
0.0;0.0;0.0;4.8;1.72
0.0;0.0;0.0;4.26;1.66
0.0;0.0;0.0;3.8;1.59
0.0;0.0;0.0;3.49;1.52
0.0;0.0;0.0;3.21;1.45
0.0;0.0;0.0;3.05;1.45
0.0;0.0;0.0;2.83;1.45
0.0;0.0;0.0;2.71;1.45
0.0;0.0;0.0;2.61;1.45
0.0;0.0;0.0;2.61;1.17
50.0;343.67;23.0;2.63;1.17
206.0;668.5;52.0;4.38;0.83
341.0;771.55;71.0;7.09;0.62
309.0;240.01;206.0;9.7;0.62
420.0;559.92;161.0;11.68;0.41
275.0;118.32;222.0;13.03;0.48
183.0;36.24;169.0;13.62;0.69
243.0;550.18;88.0;13.83;0.9
111.0;537.23;35.0;13.38;0.55
0.0;0.0;0.0;12.77;0.48
0.0;0.0;0.0;11.92;0.83
0.0;0.0;0.0;8.02;1.93
0.0;0.0;0.0;6.44;1.86
0.0;0.0;0.0;5.63;1.72
0.0;0.0;0.0;5.56;1.66
0.0;0.0;0.0;5.43;1.66
0.0;0.0;0.0;5.32;1.52
0.0;0.0;0.0;5.47;1.31
0.0;0.0;0.0;4.96;1.52
