ghi;dni;dhi;temp_air;ws10
34.0;19.14;32.0;16.01;3.93
0.0;0.0;0.0;15.15;3.79
0.0;0.0;0.0;14.56;3.79
0.0;0.0;0.0;14.13;3.79
0.0;0.0;0.0;13.45;3.45
0.0;0.0;0.0;13.18;3.59
0.0;0.0;0.0;12.98;3.66
0.0;0.0;0.0;12.82;3.59
0.0;0.0;0.0;12.69;3.59
0.0;0.0;0.0;12.37;3.59
0.0;0.0;0.0;11.97;3.66
0.0;0.0;0.0;11.84;3.66
0.0;0.0;0.0;11.81;3.72
0.0;0.0;0.0;11.82;3.79
0.0;0.0;0.0;11.96;3.79
0.0;0.0;0.0;12.11;3.79
37.0;132.28;27.0;12.72;3.66
148.0;248.72;93.0;13.56;3.66
171.0;59.82;151.0;15.5;4.07
270.0;179.11;197.0;16.92;4.07
380.0;507.14;159.0;17.88;4.83
349.0;445.99;163.0;18.19;4.9
325.0;663.52;91.0;18.21;4.76
208.0;550.57;72.0;17.87;5.1
56.0;158.43;39.0;17.01;4.97
0.0;0.0;0.0;15.89;4.76
0.0;0.0;0.0;15.31;4.9
0.0;0.0;0.0;15.1;5.24
0.0;0.0;0.0;15.34;5.03
0.0;0.0;0.0;15.24;5.17
0.0;0.0;0.0;15.11;5.17
0.0;0.0;0.0;15.07;5.38
0.0;0.0;0.0;14.94;5.31
0.0;0.0;0.0;14.66;5.1
0.0;0.0;0.0;14.33;4.62
0.0;0.0;0.0;14.24;4.34
0.0;0.0;0.0;14.14;4.34
0.0;0.0;0.0;14.01;4.21
0.0;0.0;0.0;13.86;4.14
0.0;0.0;0.0;13.84;4.07
0.0;0.0;0.0;13.65;3.66
60.0;0.0;60.0;14.09;4.0
101.0;0.0;101.0;14.62;4.55
119.0;0.0;119.0;14.88;4.21
140.0;2.28;139.0;14.9;4.34
127.0;0.0;127.0;14.2;3.93
155.0;25.33;146.0;13.66;3.86
72.0;0.0;72.0;13.24;2.9
23.0;0.0;23.0;12.79;1.79
0.0;0.0;0.0;12.44;1.17
0.0;0.0;0.0;12.27;0.48
0.0;0.0;0.0;11.51;0.69
0.0;0.0;0.0;10.43;1.66
0.0;0.0;0.0;9.76;1.66
0.0;0.0;0.0;9.48;1.79
0.0;0.0;0.0;9.24;2.14
0.0;0.0;0.0;8.88;1.79
0.0;0.0;0.0;8.28;1.1
0.0;0.0;0.0;7.63;1.1
0.0;0.0;0.0;7.21;1.38
0.0;0.0;0.0;7.06;1.31
0.0;0.0;0.0;6.15;1.59
0.0;0.0;0.0;5.35;1.72
0.0;0.0;0.0;4.65;1.72
0.0;0.0;0.0;3.77;1.66
193.0;595.38;60.0;5.54;1.17
322.0;726.29;77.0;8.78;1.1
416.0;826.71;76.0;10.59;1.17
445.0;822.45;83.0;11.8;1.59
423.0;810.4;81.0;12.6;2.21
349.0;773.54;72.0;12.87;2.55
238.0;747.79;49.0;12.68;2.48
75.0;344.68;36.0;12.02;1.93
0.0;0.0;0.0;10.82;1.72
0.0;0.0;0.0;9.34;1.31
0.0;0.0;0.0;8.79;0.97
0.0;0.0;0.0;9.07;0.83
0.0;0.0;0.0;9.09;0.76
0.0;0.0;0.0;6.76;1.45
0.0;0.0;0.0;6.05;1.59
0.0;0.0;0.0;5.84;1.59
0.0;0.0;0.0;6.03;1.66
0.0;0.0;0.0;5.4;1.66
0.0;0.0;0.0;5.41;1.93
0.0;0.0;0.0;4.82;2.07
0.0;0.0;0.0;5.35;1.86
0.0;0.0;0.0;5.65;1.86
0.0;0.0;0.0;6.27;1.72
36.0;115.16;27.0;6.65;2.0
138.0;173.58;99.0;7.74;1.93
120.0;5.9;118.0;9.3;1.93
199.0;38.71;183.0;10.56;2.21
97.0;0.0;97.0;11.45;2.34
83.0;0.0;83.0;11.77;2.48
105.0;0.0;105.0;11.95;2.76
85.0;3.91;84.0;11.55;2.69
16.0;0.0;16.0;10.81;2.62
0.0;0.0;0.0;10.26;2.83
0.0;0.0;0.0;9.85;2.55
0.0;0.0;0.0;9.61;2.41
0.0;0.0;0.0;8.92;2.07
0.0;0.0;0.0;8.5;2.0
0.0;0.0;0.0;7.96;2.0
0.0;0.0;0.0;7.39;2.07
0.0;0.0;0.0;7.23;2.07
0.0;0.0;0.0;7.16;2.14
0.0;0.0;0.0;7.06;2.21
0.0;0.0;0.0;6.69;2.21
0.0;0.0;0.0;6.17;2.21
0.0;0.0;0.0;5.68;2.14
0.0;0.0;0.0;5.25;2.0
0.0;0.0;0.0;4.87;2.0
48.0;290.31;25.0;5.0;2.07
82.0;13.27;79.0;6.28;1.93
175.0;61.63;154.0;8.17;2.0
