Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-01-01 00:00:00;0.0;5000.0;;100.0;;;;
2022-01-01 01:00:00;0.0;5000.0;;100.0;;;;
2022-01-01 02:00:00;0.0;5000.0;;100.0;;;;
2022-01-01 03:00:00;0.0;5000.0;;100.0;;;;
2022-01-01 04:00:00;0.0;5000.0;;100.0;;;;
2022-01-01 05:00:00;0.0;5000.0;;100.0;;;;
2022-01-01 06:00:00;0.0;5000.0;;100.0;;;;
2022-01-01 07:00:00;0.0;5000.0;;100.0;;;;
2022-01-01 08:00:00;0.0;5000.0;;100.0;;;;
2022-01-01 09:00:00;0.0;5000.0;;100.0;;;;
